ID,Brand,Name,Fragrance Type,Notes,size,Price
096,Maison Margiela,Autumn Vibes,Eau de Toilette,"Pink Pepper, Coriander, Cardamom, Carrot, Nutmeg, Olibanum, Cedarwood, Moss, Fir Basalm",Sample,
097,Maison Margiela,Bubble Bath,Eau de Toilette,"Soap, Pink Pepper, Bergamot, Lavender, Rose, Jasmine, Patchouli, Coconut, Musk",Full,
098,Maison Margiela,By the Fireplace,Eau de Toilette,"Pink Pepper, Orange, Clove, Chestnut, Wood, Cade Oil, Vanilla, Basalm, Cashmere",Full,89
099,Maison Margiela,Lazy Sunday Morning,Eau de Toilette,"Pear, Lily of the Valley, Aldehyde, Iris, Rose, Orange, Patchouli, Amber, Musk",Travel,36
100,Maison Margiela,Springtime in a Park,Eau de Toilette,"Pear, Bergamot, Black Currant, Lily of the Valley, Jasmine, Rose, Musk, Vanilla, Amber",Travel,36
101,Marc Jacobs,Perfect,Eau de Parfum,"Rhubarb, Daffodil, Almond, Cashmere",Sample,
102,Marc Jacobs,Perfect Intense,Eau de Parfum,"Daffodil, Jasmine, Almond, Sandalwood",Sample,
103,Memo Paris,Sintra,Eau de Parfum,"Bergamot, Red Fruits, Petit Grain, Orange, Cinnamon, Rose, Vanilla, Bourbon, Caramel, Musk",Travel,16
104,Merit,Retrospect,L'Extrait,"Bergamot, Pear, Amber, Aldehyde, Jasmine, Rose, Rosemary, Violet, Orris, Vanilla, Musk, Moss",Travel,34
105,Michel Germain,Sugarful Sunshine,Eau de Parfum,"Lime, Pineapple, Mango, Cotton Candy, Coconut, Frangipani, Sugar, Agave, Vanilla, Moss, Amber",Travel,16
106,Mix:Bar,Cloud Musk,Body Mist,"Cardamom, Cypress, Iris, Jasmine, Peony, Tonka, Wood",Full,9.99
107,Mix:Bar,Coconut Palm,Body Mist,"Coconut, Wood, Artemisia, Salt, Seaweed, Incense, Sandalwood, Amber, Musk",Full,
108,Mix:Bar,Vanilla Bourbon,Body Mist,"Bergamot, Black Pepper, Jasmine, Apple, Vanilla, Sandalwood, Amber",Full,5.99
109,Mix:Bar,Whipped Almond,Eau de Parfum,"Almond, Milk, Sandalwood, Iris",Full,19.99
